vehid,entry,mid,instspeed,exit,length
688,18.526049596649205,25.54694255430984,5.0,3.9264803468349143,197.26
684,65.8985517849175,74.33966838432262,10.32744196281062,84.64204432654088,197.26
668,124.3567408473045,131.18470875717168,13.651739317300185,139.14872054010348,197.26
682,319.03598115231756,326.61288087269395,13.369050030596773,334.27903106329074,197.26
683,321.4413687392389,328.5125387179747,5.0,306.0633741889599,197.26
680,324.28076961103034,332.1784090809453,11.276188297390005,341.08613359981564,197.26
484,374.77363468307635,383.37968010172784,10.409859511559377,393.56764159206756,197.26
512,376.69190866700893,385.37096273994223,5.0,379.5331680753522,197.26
501,408.3934313847676,415.42134978311486,5.0,392.55876937373404,197.26
690,410.6033360768451,419.1027988937869,11.200581753172468,428.2831969916483,197.26
691,420.0744824603611,427.02324626307364,5.0,404.6346157382494,197.26
685,905.632386961615,913.1905451232857,12.571863759108968,947.9159953166022,197.26
516,909.7019371619056,917.6026968544027,12.941616491278422,956.4611096146465,197.26
667,994.1415198632028,1001.5033741331109,13.659582009508053,1009.8758444963288,197.26
513,1090.8702756493558,1098.2822475729904,12.075735794910338,1107.4355129360513,197.26
657,1141.8837804577615,1150.510048739859,10.90183986490519,1159.7613352769442,197.26
505,1218.8491988353296,1227.4937059475358,10.589688484658874,1237.021093515657,197.26
517,1220.9105874916982,1229.3747864602753,5.0,1208.9341758980256,197.26
507,1222.7104003360444,1231.4396657546229,9.332198913039672,1240.84916109063,197.26
658,1230.4016453120116,1237.4459330890604,13.267392577460093,1245.2147997961038,197.26
488,1358.361040196468,1364.5067488357513,14.408419769442487,1372.4079007636326,197.26
776,1361.040469500805,1368.033554366892,13.0352729573395,1397.779339610727,197.26
661,1379.4129004404235,1386.1637337053817,14.123424097104639,1400.8487676979717,197.26
675,1400.7816963046848,1409.2367412993003,11.529457599520967,1418.286854763287,197.26
784,1404.284695319034,1412.190839834191,11.484146689874795,1420.763617555362,197.26
511,1443.0957709108686,1450.5535973461022,14.300747643514713,1458.5582638029766,197.26
666,1535.229535821639,1543.2603013095181,11.415152694915223,1552.7898572876313,197.26
676,1589.9537835923732,1596.5542985188558,14.288248714960499,1603.8356816866808,197.26
689,1774.8537822788305,1782.527370987109,11.858474119333122,1791.1141428450903,197.26
677,1788.1061610914007,1796.1998484745623,12.712159718709486,1850.6379608114034,197.26
2657,1988.4561549018122,1996.5143283367936,5.0,1998.4020752886088,197.26
2505,2029.1356401889916,2038.477832004091,10.277139588861996,2048.5325926850182,197.26
2669,2287.0064094006275,2294.3236292298643,12.982699459309886,2302.344116124404,197.26
2679,2351.850365650971,2359.1689790526984,13.708665112436858,2367.3688726358077,197.26
2506,2440.9245319909833,2448.1342834093575,5.0,2448.0267451700697,197.26
2785,2759.9837547437232,2766.5382196052733,13.686278694546454,2773.8068826430513,197.26
2685,2838.5904406524296,2846.1658829391695,12.85062491380836,2853.7303509345315,197.26
2674,2930.930943956213,2938.5500193543307,11.973768651238125,2946.774262809755,197.26
2683,3033.1684436703945,3042.2678914517996,9.583579377591418,3052.187927909351,197.26
2663,3198.6573453481396,3206.004897661407,13.688111603825543,3213.552954578886,197.26
2660,3211.677801622333,3219.5265598255082,12.340851784990878,3228.0548694665476,197.26
2656,3216.935718075683,3225.106400450814,10.762704749742959,3234.7328853790445,197.26
2677,3289.10878528687,3296.065781452344,14.517150462243666,3303.053758248243,197.26
2691,3334.3390786891036,3341.517660605333,14.043645269138116,3349.5554195905524,197.26
2468,3469.297061618735,3477.1540953658764,12.659539870772223,3485.321517209306,197.26
2508,3525.7029517998435,3534.420347346683,10.873596473686629,3544.9044777059166,197.26
2486,3738.520570236985,3746.4741002114793,12.283496237555504,3754.9233459176858,197.26
4473,3740.3491154754934,3748.203973608642,11.756029580121808,3756.7700844346778,197.26
4682,3753.9008629175173,3762.024147291142,11.327760590436561,3770.725564075487,197.26
4662,3802.679062465149,3808.1534842105066,16.673413599279996,3815.3236705538716,197.26
4656,3877.992651047248,3885.0031641345813,13.271449999323272,3893.5452592929887,197.26
4693,4011.0816169050804,4018.0903988004234,13.091568521970654,4025.5532866457734,197.26
4664,4110.191149374481,4116.558894336649,5.0,4093.478919785469,197.26
4515,4327.802713081361,4336.411222106091,9.48839972153241,4372.722084883829,197.26
4770,4506.496578929626,4514.013665470348,13.630470335856392,4548.396670258349,197.26
4658,4681.702129083671,4690.326889392011,10.798756879754666,4700.523526066239,197.26
4782,5000.267584710532,5007.3292722601145,13.187934161424522,5014.820765269752,197.26
4659,5099.698020161003,5108.173897107791,5.0,5087.583996972821,197.26
4684,5138.0340270391225,5144.312294215012,15.777339317293107,5151.81435915813,197.26
4666,5189.981036334966,5197.021597405469,12.467504206224232,5204.8334178875075,197.26
4676,5226.077356072915,5234.157750638696,5.0,5237.858504750827,197.26
4673,5281.89765517628,5290.49871486996,11.135494146196134,5299.613922995162,197.26
4514,5319.906047592014,5326.636258533274,14.588515733203822,5334.578218915338,197.26
4687,5358.446456849033,5366.334328041881,11.547929647338064,5374.936412276524,197.26
4688,5360.798928732424,5368.206080809432,5.0,5346.708359968939,197.26
4509,5448.919231524345,5456.60545130285,12.867870172450967,5464.803622701294,197.26
6681,5493.461251428082,5501.116167206081,12.583691989086137,5509.8002487599115,197.26
6498,5633.486991980962,5641.4608639917415,11.565828664593871,5650.076513422474,197.26
6677,5945.320953060971,5952.366609810997,13.803689349475093,5960.555004887587,197.26
6655,5948.068999409257,5956.063042434406,12.093675268002036,5987.924168592396,197.26
6675,6033.5193175995655,6040.643964061432,14.470633834294803,6048.848412231182,197.26
6512,6035.531966173567,6042.604025262957,13.020236566095909,6078.192317961876,197.26
6777,6090.638157116025,6097.140751407342,14.365354058663199,6104.253883504801,197.26
6674,6093.68599112368,6100.372275726953,5.0,6077.71465816458,197.26
6691,6126.032322426601,6133.487984608615,5.0,6111.590875776177,197.26
6784,6151.929507473175,6160.171257556709,10.753687948714907,6169.155759320527,197.26
6684,6168.649909098025,6176.188801450132,12.7553673490001,6184.166253657025,197.26
6660,6180.393685119686,6187.067656880912,14.149918913188845,6194.4032432896265,197.26
6656,6183.842199397704,6192.450520403561,10.712645265733196,6201.800071392678,197.26
6662,6213.420902791789,6222.110187036783,5.0,6202.328625271218,197.26
6510,6215.524595898262,6224.028719818844,11.446191124363638,6259.089169825505,197.26
6678,6228.544631447205,6235.539894738831,13.340783746853612,6261.704222973306,197.26
6782,6483.109610690899,6491.349052068609,12.15181992082085,6500.303181321163,197.26
6689,6630.19815365205,6637.156509968819,13.758059561808858,6644.789613982323,197.26
6481,6668.655905225618,6676.218566877997,12.059204670994186,6685.461401541817,197.26
6679,6700.08742638663,6709.157539538733,9.89204808399098,6719.079047610933,197.26
6671,6720.035664834862,6727.060509730332,5.0,6704.673962841799,197.26
6683,6755.028938845259,6762.062702866245,14.238601512544347,6770.415497081742,197.26
6659,6843.687879462333,6851.473043628098,5.0,6830.3626905842275,197.26
6682,6979.152851702119,6987.31810067716,5.0,6965.654358378359,197.26
6499,7206.732803962763,7214.2390181136825,13.29602424028474,7249.313818938223,197.26
6516,7248.5731392667885,7256.345103645719,12.798171669518394,7264.491124985935,197.26
