vehid,entry,mid,instspeed,exit,length
61,214.3911658912675,215.5078612853832,14.352051861841389,216.59861235350675,35.61
165,230.0,232.21660906496953,11.582510384042514,233.5619090799926,35.61
1283,328.1062352946424,329.55149219171267,11.821572800501237,330.7918508816745,35.61
1262,337.0611040310417,338.4878232749569,5.0,309.7678660463311,35.61
1404,344.9991841282451,346.33323231423344,12.170237927616439,347.5363043088121,35.61
1552,350.8834202558105,352.2029061254808,11.710210951225436,353.4660052934882,35.61
82,396.67049457521915,398.2898626278716,11.634143711913692,399.4987996384445,35.61
169,501.20276943095104,502.41281152579927,5.0,473.5960855299073,35.61
267,533.1389432955606,534.272349979017,13.444344550877899,535.4327367778747,35.61
253,621.167029349713,622.3924967499524,5.0,593.5740392557877,35.61
1275,708.0040669388951,709.3476677324281,5.0,680.5566788491514,35.61
178,769.0004660105346,770.339042975209,12.02257933966965,771.6110763298357,35.61
78,850.0,852.2471198584697,5.0,823.5131263517003,35.61
101,887.0,889.4507598520329,10.265697332598142,890.878415676036,35.61
1396,902.1324079116187,903.5414581520903,12.03156575567166,904.7159982903623,35.61
18,946.1129505427779,947.437429415842,13.177794684629877,948.6189180589525,35.61
256,985.0001305991791,986.1273705638728,14.162440101076076,987.2070200746363,35.61
1422,1070.0320802985455,1071.3924757832212,5.0,1042.6340102156755,35.61
1270,1201.1221292726086,1202.4363690662267,5.0,1173.618755181319,35.61
1392,1263.1789230191043,1264.467578492264,13.188438520722329,1265.6401431310378,35.61
1399,1265.979222747483,1267.2882933702592,12.33545337948666,1268.519835219381,35.61
173,1298.69909601967,1300.049593719229,11.753367214064498,1301.329771181261,35.61
161,1572.792143915791,1574.2533807850746,5.0,1545.6697161302682,35.61
1406,1621.8223496771884,1623.1463817008741,12.038348954755811,1624.4074629077602,35.61
181,1664.0,1666.1008607854749,14.733062257916536,1667.142606210699,35.61
96,1762.0,1764.0553990134279,5.0,1735.2338783494533,35.61
1282,1771.9589238771032,1773.4925253549186,11.58223574133808,1774.7051711430865,35.61
263,1837.9536063526489,1839.0677519319922,13.042168889917996,1840.2246221006333,35.61
79,1851.8910451818037,1853.3078160451028,10.982921347379333,1854.6571077068393,35.61
1424,1963.9829075856355,1965.42750746094,12.231947064052523,1966.6325361043757,35.61
1413,1971.94280698492,1973.3204586229456,12.096209160674507,1974.5921069176663,35.61
3269,2032.9396131612007,2034.1757034730406,14.6310830988032,2035.2364407618863,35.61
2177,2211.0,2213.0619692082787,14.381734705130022,2214.113800636213,35.61
3260,2234.0182472935144,2235.334411398437,5.0,2206.545895973722,35.61
3238,2301.9789281036515,2303.220102846803,5.0,2274.2915314340125,35.61
3258,2361.0327710033384,2362.387354622195,12.404253554919107,2363.6028704996556,35.61
3265,2411.2945144618648,2413.161958573814,5.0,2384.529718886881,35.61
3588,2421.431139383876,2423.001049245853,12.310584706126644,2424.222137842331,35.61
3271,2478.901157080345,2480.1690296403067,14.302938176513422,2481.217768747014,35.61
3417,2498.0844695239834,2499.5134094031573,11.73987434043015,2500.7657391037983,35.61
3425,2507.788764631915,2509.2038900736493,11.159824156829425,2510.5888211509077,35.61
3553,2515.5446783477323,2517.3695156266917,10.166083184288182,2518.695357184857,35.61
2179,2563.0,2565.040318339772,14.148962168801805,2566.114670501806,35.61
2262,2599.3895805940024,2600.614859355415,7.621160337602287,2601.7809728240914,35.61
3563,2774.7814028518965,2776.060938321925,12.630470932310324,2777.2850969200717,35.61
3411,2783.7174670797995,2785.3477536252826,10.262698190153333,2786.8334938234525,35.61
2249,2840.5633171005425,2842.0896132266125,10.03293990509656,2843.7553354279908,35.61
3408,2864.120920730539,2865.4936994210407,12.464751431745663,2866.6586068775855,35.61
2254,2872.84251649187,2874.095041583368,11.680493428431804,2875.4194238659857,35.61
2107,2920.951895703627,2922.22245500007,12.781685834809426,2923.405068646877,35.61
3239,2932.8797457204173,2934.0920532160126,13.955865329729948,2935.1855614739525,35.61
2269,3011.0044345661645,3012.3727533207784,10.998023864460016,3013.7876049487422,35.61
3397,3133.8688826518246,3135.123643939578,13.54129904913583,3136.2632007009015,35.61
3431,3138.8369143060763,3140.2535521011514,11.410447028148493,3141.6089555429494,35.61
3241,3175.909897642398,3177.356671435336,10.172584896293163,3178.8112508048334,35.61
2250,3378.5262635621752,3380.010805366845,10.548324255801456,3381.46707016701,35.61
2195,3381.325307621711,3382.4463955185856,13.062190874800363,3383.5663356192335,35.61
