vehid,entry,mid,instspeed,exit,length
349.0,161.69763252908294,165.32974599918697,12.362696760159489,183.39936082046313,95.66
146.0,363.1716857223037,367.35751993235937,13.794375093791299,370.63750262953306,95.66
307.0,430.33461906202507,434.1901601578738,12.91351219899586,438.94378665119564,95.66
357.0,609.4324702842428,613.4156690341441,11.522920846226857,618.864945613619,95.66
370.0,1245.6111852490376,1250.0652264752082,9.722934053656552,1263.3233253406997,95.66
394.0,1617.1413442397702,1620.518443113324,13.930512610898091,1623.8775154154293,95.66
305.0,1680.4961357908114,1684.0124378543724,13.010334700812772,1713.6013810651862,95.66
346.0,1760.0927297191906,1764.3169402881456,10.401133558798245,1769.5724856581041,95.66
2133.0,2045.556503064097,2049.189677137166,12.39967807865102,2053.980345946925,95.66
2151.0,2162.8375785181793,2167.1893637434996,13.104011451201089,2170.707053053593,95.66
2399.0,2239.525129532329,2243.2005168367514,11.838493769626732,2253.5239035395257,95.66
2380.0,3379.777065584675,3383.5029873424073,13.235353729594001,3388.643585461879,95.66
4152.0,4190.3556960018095,4194.33216751154,11.521417471070878,4198.883860293523,95.66
4351.0,4206.578668059438,4210.41024956559,11.913941668876388,4233.571938857036,95.66
4369.0,4208.404004078846,4212.1385350403125,12.881166435051435,4236.279356013527,95.66
4342.0,4295.575325129717,4299.21729767787,13.336797288237486,4303.823852658197,95.66
4347.0,4388.8025928306715,4393.065980181824,10.634735574317787,4397.999455640969,95.66
4129.0,4502.92967092879,4507.168937044887,12.617253579840508,4510.637940696368,95.66
4385.0,5108.290201183713,5111.568193768938,14.201768606257296,5115.853788836529,95.66
4143.0,5403.088829247115,5407.613101884954,13.22267612191759,5411.25290072153,95.66
4356.0,5450.293569253974,5454.201450425254,11.294189992902174,5458.998426071081,95.66
4362.0,5539.712071838044,5544.137752249434,11.228658502112888,5549.38220909364,95.66
6388.0,5809.934592213724,5813.533896365876,13.413491669093702,5817.929230310967,95.66
6390.0,6080.209121294053,6084.488379495105,10.645088914879073,6089.649486333991,95.66
6386.0,6082.07023334225,6086.331152841781,10.448071484649057,6123.536835652173,95.66
6357.0,6103.297959907154,6106.422685196034,14.131890647824202,6126.102796798331,95.66
6383.0,6192.314012755778,6195.603022871981,14.44029199191538,6199.930383338358,95.66
6305.0,6461.143078139029,6464.510639085224,12.87933315875566,6468.9795355579845,95.66
6396.0,6552.147039264023,6556.116145874802,11.355273438281912,6560.878666607908,95.66
6331.0,7093.1570129714055,7097.07391082848,11.099948933927006,7102.387890328068,95.66
6124.0,7293.0029454802025,7297.3917585640365,12.202347400971215,7301.26495801368,95.66
