vehid,entry,mid,instspeed,exit,length
722,75.37539328398827,77.11083671607072,12.030790365725155,77.8808506003998,33.2
712,149.73314400583985,151.43008658526577,11.492360322051548,152.2246640691829,33.2
704,162.02273742310456,163.49103603711413,5.0,134.18920797500127,33.2
1792,294.1466982297099,296.06902982678537,5.0,266.91018088015306,33.2
1898,387.63260627767784,389.3082799429404,5.0,360.10878557462945,33.2
1523,543.4059206306816,545.3508714270911,11.86240970693693,546.139186151834,33.2
691,559.1657264279289,561.0606560567952,12.726077144034655,561.788600380581,33.2
452,633.096113105563,635.2957258299302,12.163781516441318,636.0507891791212,33.2
1787,636.1664118632383,638.2501107650882,12.254532977063095,639.0051106987825,33.2
1784,641.2711871791256,643.2723087475632,12.807882249495657,643.9956036249366,33.2
809,646.4708243327691,648.5616191384086,11.78032489415391,649.3453368725229,33.2
724,709.9872658634409,711.3628401101209,14.774713180116816,711.989848939878,33.2
701,794.5270290628563,796.1828577219554,11.889515720836032,796.9620211326926,33.2
800,818.1305989159324,820.0860975379505,13.471201323484852,820.7737775301506,33.2
977,909.4809781744259,911.300055903932,10.443332579601588,912.1700757552765,33.2
1062,913.5287317058613,915.1539258282859,11.96469658255953,915.928193320749,33.2
1771,924.8391286310683,926.5087368651647,11.131785415730493,927.333074821146,33.2
812,1041.9516012317872,1044.1260571983223,11.761359166595037,1044.9137106905625,33.2
709,1135.0251516843489,1137.1153928420667,12.51277301552955,1137.8557463679847,33.2
988,1267.2693837323943,1269.4491558364787,5.0,1240.2537951161273,33.2
985,1272.8617459544462,1275.1586285298906,11.150132760897385,1275.9894595002218,33.2
1799,1289.649483859092,1291.4197994448864,5.0,1262.2848209377312,33.2
984,1443.4688239289321,1445.4626964004494,11.439649477178476,1446.2697304281003,33.2
978,1534.18846645734,1536.0494767349146,13.500144086007946,1536.7356824199828,33.2
1775,1569.8223193634526,1572.1038123540154,5.0,1543.2003305883459,33.2
982,1637.4032360102094,1639.1871238619399,13.231293591803226,1639.8872727594594,33.2
1060,1639.343814933101,1641.0770246692052,11.414944743606787,1641.8885814335292,33.2
1774,1651.2579226019625,1652.6352272780034,14.43323893640058,1653.284393283492,33.2
969,1803.4572001741021,1805.2894075928064,12.725671043697062,1806.0172953884887,33.2
1071,1809.486135376179,1811.4449314745548,5.0,1782.1945654277513,33.2
728,1900.8329115880447,1902.4675070621638,5.0,1873.1508203107348,33.2
989,1905.7242204373235,1907.0637133018574,5.0,1877.733092264108,33.2
1920,2006.1509473038766,2008.094224984813,9.364036319131914,2009.0753493840934,33.2
2966,2088.687653238845,2090.4886308579144,11.788073873924272,2091.282132707145,33.2
1765,2090.61452867057,2092.253923521124,11.806403313374869,2093.0382820440973,33.2
2968,2181.4099039358844,2183.166636865852,11.703567733324572,2183.9581797382602,33.2
3787,2187.3911649098036,2189.1453915237425,11.617060409128587,2189.9428286803736,33.2
3791,2189.7385779029064,2191.295538860132,13.361017577316881,2191.988889914231,33.2
2720,2218.1161740145585,2219.5583783218763,5.0,2190.2227086540483,33.2
3774,2365.7936364080438,2368.044918405306,11.555886792001102,2368.84657697014,33.2
2990,2436.144994630929,2438.2405146556302,11.565678757236364,2439.037334217474,33.2
2709,2441.9426355002042,2444.0267209785247,12.339301236181981,2444.777482747262,33.2
2985,2444.178084428994,2446.040197059354,13.967040672399014,2446.703463948765,33.2
3794,2449.506678644785,2451.257787335365,5.0,2422.1162450854504,33.2
2984,2526.9966610851943,2529.2138612012513,11.312316458358632,2530.0302092668417,33.2
3072,2539.9851577527274,2542.1013271991533,11.790844463696857,2542.8870110108246,33.2
3768,2553.519088865213,2555.2251451730804,10.476326447901608,2556.115676251174,33.2
2703,2571.952315098653,2574.2039395750044,5.0,2545.2004741862256,33.2
2445,2661.5368198514566,2663.420965702868,12.74806017941622,2664.1448082663615,33.2
2704,2752.217839257308,2754.28638694079,11.810523920226265,2755.066254249338,33.2
2808,2838.583241590056,2840.441340233448,12.384314188662408,2841.1853706440097,33.2
2730,2868.4493481309974,2870.138800204014,11.680712763719482,2870.9318918422086,33.2
3541,2883.719503098508,2886.057538593037,8.854287871225118,2887.1050236121787,33.2
2983,2889.113476737675,2891.0563691468433,10.812690069325432,2891.9131287100668,33.2
2718,2961.779506116126,2963.563772594965,11.471249302211811,2964.3781339824177,33.2
3896,3093.1484202125785,3094.4576583094226,14.210661229581117,3095.110561703647,33.2
2967,3162.340471870599,3164.2674581554656,5.0,3135.0061248638394,33.2
2971,3177.4027711147573,3179.207657846407,10.322813876862403,3180.103012711189,33.2
2714,3202.1722186450356,3204.242058966372,11.744249044448038,3205.0266083555584,33.2
3543,3367.004486301132,3369.244723957181,8.693896207625638,3370.3265219362665,33.2
3521,3369.072603920628,3371.2775220733056,8.945338354383912,3372.351940100563,33.2
3792,3452.0660499781,3454.247070549881,5.0,3425.0515397412682,33.2
2988,3454.1697065478174,3456.0154002130475,12.005278640080357,3456.787050409498,33.2
3545,3457.334826593996,3459.0667932456968,5.0,3429.929650804586,33.2
3907,3531.4868312512053,3533.417633196486,10.600643742524555,3534.321067961035,33.2
2992,3609.9146348979098,3612.209151790275,11.485639158602957,3613.0146687150823,33.2
3920,3726.8332956524887,3728.4844390875305,11.893568027102265,3729.2468266004307,33.2
3776,3728.577500452519,3730.195200588365,12.418788778295943,3730.9411570408374,33.2
4706,3737.4645075753515,3739.2409945737995,5.0,3710.0351943427813,33.2
4714,3770.8436532130836,3772.5550333726633,11.589131457284674,3773.3217961882488,33.2
5778,3890.9720136994647,3892.4398100473873,13.783229313316056,3893.1136842310957,33.2
5548,3987.461687828545,3989.296459182539,11.612234138620286,3990.1024657436355,33.2
5785,3989.305190847759,3991.0491130252553,10.601316437634896,3991.922955031157,33.2
4707,4008.6655985176913,4010.498106658093,12.765297601759155,4011.2286015190107,33.2
5768,4068.4279294726643,4070.2476731664347,10.59254303006173,4071.1132693892528,33.2
5525,4072.342469456688,4074.2811140620897,9.866912468856476,4075.2317639138223,33.2
5892,4075.638429200734,4077.239593208482,12.624837809080628,4077.973374961654,33.2
5783,4146.372619725761,4148.462709481705,11.929391062938276,4149.22812065833,33.2
5769,4164.9863622576095,4166.579716320004,12.692507707302441,4167.326807059499,33.2
4727,4188.596284851598,4190.431719985647,12.420310485973909,4191.174082791309,33.2
5794,4237.060304959287,4239.172908205472,11.500889586677815,4239.97840029817,33.2
4805,4239.360272714782,4241.304694768059,12.987945506675977,4242.018214944078,33.2
4962,4241.465308128205,4243.301071891487,5.0,4214.091831846395,33.2
5064,4338.778104442092,4340.294610049372,12.79221727375369,4341.018191181076,33.2
