vehid,entry,mid,instspeed,exit,length
1115.0,179.34105047272374,184.051157488584,12.417786172625624,188.44547968509866,117.23
668.0,267.9641077541815,273.0109898983524,10.99244143191424,277.8226446852736,117.23
6.0,378.8576349718741,384.14278031855076,11.793634686710188,389.11674734595465,117.23
1210.0,427.363345559753,432.15252687769157,12.3930039718447,436.5737305986881,117.23
1163.0,535.1737134193731,540.0442019380561,12.703084132917278,544.4628357615826,117.23
1205.0,561.3597453948177,566.1172873048275,11.92623674249907,570.6308714262004,117.23
1203.0,567.704608557012,573.0075253167659,10.707353312033346,578.166545737195,117.23
1160.0,586.544639096124,592.0195315594209,11.446976869135268,597.057849736787,117.23
944.0,591.2393382481017,596.5456077432599,11.013343085513789,601.6568069773209,117.23
187.0,712.7360947095267,717.1328809201636,12.995956413805118,721.2912940740983,117.23
426.0,714.485251940791,719.0239941807578,13.018534323761338,723.16028422197,117.23
946.0,846.0198495574258,850.5362605209308,14.220112434876473,854.5762411418394,117.23
1204.0,902.2945346617981,906.5713754345177,13.24469135711166,910.5841528509401,117.23
686.0,930.0521515896103,935.2184073786788,12.297254272586633,939.7133062423438,117.23
658.0,938.676269799201,943.567844063417,13.748419426276444,947.5291503363128,117.23
14.0,970.9692025432503,975.4747725291749,13.66959950327553,979.6600001693271,117.23
12.0,992.2390052138937,997.4741270970576,11.643510442101729,1002.498074832912,117.23
7.0,1054.6247567894145,1058.5238119497424,14.836898815302458,1062.2511928724293,117.23
157.0,1063.5381361715981,1068.3425376312223,11.437051415550593,1072.976913738702,117.23
1142.0,1077.2634652910886,1082.4581471100937,11.77841996090881,1087.2873151243243,117.23
408.0,1108.6201569195402,1113.5075941555913,11.854616619192532,1118.3520256810316,117.23
1209.0,1110.334053184091,1115.309762843873,11.1145014360064,1120.1804095969576,117.23
1158.0,1267.2164564651541,1272.328645731747,10.915345632541928,1277.2006967398163,117.23
192.0,1331.9595908803965,1336.5451267157687,12.592007729353698,1340.9158509830781,117.23
1175.0,1351.0095905881647,1356.0788990445333,11.467604229961957,1360.9610349466711,117.23
183.0,1383.1860031594235,1389.1682641047473,9.700733001907501,1394.9912902238161,117.23
190.0,1456.8773549926511,1462.2483796979848,11.601862375095727,1467.2967897102392,117.23
1161.0,1460.436947776483,1465.3324939004144,13.132959104177818,1469.72471140678,117.23
8.0,1515.6711009731869,1520.3504849458902,12.017269553339286,1524.8860701344804,117.23
423.0,1526.3688553344816,1532.3348186513465,10.85928304173222,1538.1419058103309,117.23
1134.0,1556.0639679803126,1561.2071444637404,11.603232378156868,1566.2294152662964,117.23
188.0,1651.6091088395879,1656.1143800225755,12.112700797945179,1660.5232888232847,117.23
416.0,1656.3644159592775,1661.1621822694897,12.092966704185569,1665.6879315777908,117.23
1201.0,1666.9601988276381,1671.1672173745858,14.22580974818214,1675.1679475675164,117.23
170.0,1718.1152929491564,1723.151713529684,11.62305711366635,1727.822085908182,117.23
179.0,1732.8749919959832,1738.1753848800647,10.276165661193135,1743.5866428897239,117.23
1182.0,1748.277893864304,1753.5055592251097,11.281337991189874,1758.245255387293,117.23
167.0,1788.1822715788728,1793.0674902007772,11.81916635766568,1797.6817325871646,117.23
2937.0,2034.229660987277,2039.3754181093625,11.820143781489639,2044.1432801149826,117.23
2925.0,2052.1241926759317,2057.1212681852603,11.669325045567799,2061.702952900151,117.23
186.0,2066.8666653950986,2072.4399626359245,10.51553182844188,2077.7746131605613,117.23
3163.0,2083.3375586332645,2088.284299231573,11.509386840946286,2092.9099469212374,117.23
2924.0,2164.507351191904,2169.294280862175,12.942522912535363,2173.4609161271005,117.23
1.0,2198.1186476039625,2204.3670175960924,9.399976310719365,2210.390286976339,117.23
176.0,2200.123316021492,2206.370039992316,9.60439689335204,2212.405113237533,117.23
2931.0,2224.9413931175923,2230.307455695516,10.28956273533058,2235.4751954372273,117.23
3158.0,2245.0261951934217,2249.3390111744206,13.97068190793645,2253.278398916213,117.23
2187.0,2262.936511827899,2268.0568809376796,10.597852887815206,2273.1870393898844,117.23
3181.0,2340.022371420604,2345.3664208662317,9.412265049577362,2350.8005657425015,117.23
3204.0,2349.112602454283,2354.0054952925057,12.367616491620383,2358.6176211702905,117.23
3137.0,2359.068020238489,2363.5007811926534,13.338910802928947,2367.6755057657774,117.23
2659.0,2875.3755966321655,2880.0681170142448,13.464101053789232,2884.3765740515746,117.23
3186.0,2882.910060202357,2887.50199915808,12.955151424437618,2892.012708451676,117.23
2026.0,3014.0430195456956,3018.3731615969164,13.108330320529108,3022.5671104173516,117.23
2005.0,3145.654386717732,3150.3743448142545,12.73420164732038,3154.8514646741855,117.23
3207.0,3215.8430545549713,3221.11628767401,11.457784092395597,3226.054252033139,117.23
2007.0,3286.9769367639046,3292.3569411779727,11.971185870052295,3297.364804085272,117.23
2004.0,3305.555490372051,3310.0066825393683,13.629989818213307,3314.1627212849207,117.23
2934.0,3312.9045266338367,3318.1594851803707,11.224187567434212,3323.3158327714505,117.23
2182.0,3355.3131580278523,3361.2758120141266,10.063309003032337,3367.0419243308356,117.23
2020.0,3419.7429158673635,3424.461270095756,12.032527982461737,3428.9976651029497,117.23
2431.0,3566.938171255424,3571.1851340160874,13.477178256328875,3575.2026864347354,117.23
3160.0,3604.076757423388,3609.403630462893,11.180897916536235,3614.6336286050578,117.23
2015.0,3623.72170817549,3628.315330523082,12.785982019443033,3632.707266428093,117.23
2425.0,3625.4509953667875,3630.040239315356,13.316434920666335,3634.436215051194,117.23
2412.0,3638.6030982206703,3644.1829435961563,9.759730302214702,3649.4337668848384,117.23
