vehid,entry,mid,instspeed,exit,length
361,139.20047783483804,146.4094101414381,10.769571633392445,153.90677295956164,156.7
180,141.22271895437223,148.3346309404211,11.370271379852957,155.78518077079713,156.7
384,228.8294629184758,234.44150968428687,14.469906874881982,239.76915971728397,156.7
313,248.36058753893573,253.35517113486068,14.513982657192779,258.82937902871635,156.7
191,318.46955787982137,324.35689921376326,14.771729377477335,329.8785737877678,156.7
247,320.52961879445536,326.52377134034873,5.0,302.6461602567508,156.7
379,791.3078931164579,797.206741005709,13.042163318490724,803.4602095377808,156.7
360,1156.0149512815453,1163.399429211308,9.73917845924702,1171.9793636548357,156.7
260,1308.7425581345992,1315.5252346721056,10.646764848013605,1322.614904537952,156.7
311,1601.932884870018,1608.204126667733,12.224794965965158,1616.217702971157,156.7
259,1763.0260369620285,1770.2770285123015,9.722520852075016,1778.1560570511394,156.7
2307,2143.949474770091,2150.500812153414,11.603373888589335,2158.5552621373427,156.7
2366,2230.4915104012325,2236.0641459144913,12.82243682246151,2242.1268993463927,156.7
2375,2411.4209165375664,2416.6061892506027,5.0,2392.1925439108804,156.7
2325,3128.063193353026,3133.0272634207904,14.37531679256201,3138.3562510387046,156.7
2368,3318.3705892916287,3323.601633707876,13.691858440222827,3378.3547914022597,156.7
2354,3490.511102826784,3496.132750970393,12.680773455483742,3502.2422769062155,156.7
4177,4098.719707940282,4105.122933233055,5.0,4081.638951425436,156.7
4305,4548.440786130861,4555.293601737526,10.58230434614662,4562.429651691423,156.7
4327,4568.014676787235,4573.165775638602,5.0,4548.510155211212,156.7
4349,4840.45852220815,4846.102875159072,12.369004653650041,4852.2409477649435,156.7
4379,4843.249230980463,4849.098367137278,12.227840379461295,4856.75391230367,156.7
4367,5102.234843022643,5108.001579412131,12.697448061442802,5114.004286117524,156.7
4334,5373.583189824162,5380.06002999618,11.828257777507506,5386.96637430789,156.7
4393,5381.965209401889,5388.037354721041,11.902380868686885,5396.158680974761,156.7
4398,5389.233595875204,5396.099629130308,11.444552759253627,5452.871012738862,156.7
4362,5448.922823438167,5455.166936186274,11.886928915063217,5461.575929121488,156.7
4386,5451.080409354422,5457.014831654962,11.852492099778104,5463.396085088632,156.7
6397,5538.56563166395,5545.371977477522,5.0,5522.209086629547,156.7
6191,5632.970333852547,5639.024237193699,5.0,5615.556010200767,156.7
6396,5642.326669680269,5648.1911850704655,12.170036401236054,5654.515925128237,156.7
6361,5645.262079244347,5651.487472889205,11.652503801952664,5658.046111924355,156.7
6347,5653.379919086036,5659.369095504762,11.955110741822734,5666.768952095679,156.7
6390,5821.0392578412375,5826.1546888636985,13.925080449877774,5831.663382628414,156.7
6376,5899.1756389302745,5906.1852974290805,11.076096339561865,5913.619632185055,156.7
6304,6010.769967274799,6016.4788294654945,13.263532617383703,6022.622607823881,156.7
6178,6080.612142872302,6086.2915060015075,13.318207957233957,6092.269827649796,156.7
6378,6194.694162420775,6201.042134281495,5.0,6228.553516658572,156.7
6308,6259.30878788921,6267.316440454124,9.049970416176954,6275.595476226194,156.7
6303,6648.386686194514,6655.185346018134,10.525261654695019,6663.8062873714125,156.7
6328,6902.482934504296,6908.2567259412435,5.0,6884.629778263946,156.7
6375,6978.934719437883,6985.529978726862,11.985268856709105,6992.418496009039,156.7
6189,6980.874412314644,6987.34938414229,11.37198250539574,6994.226397965346,156.7
6169,7068.699650713921,7074.546797381432,5.0,7050.157383973314,156.7
